country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,687,646,1020,1060,1030,1100,1120,1250,1270,1500,1670,1630,1770,1810,1800,1770,1760,1760,1740,1760
Albania,5440,5950,6240,6610,7000,7430,7910,8450,9160,9530,9930,10200,10400,10500,10700,11000,11400,11800,12300,12700
Algeria,10300,10400,10900,11500,11800,12400,12400,12600,12700,12700,12900,13000,13200,13300,13500,13800,13900,13900,13900,14000
Andorra,31700,31800,31900,34500,36300,39800,42700,43400,41400,41700,39000,42000,41900,43700,44900,46600,48200,49800,51500,53200
Angola,3890,3920,4320,4300,4610,5110,5500,6040,6470,6290,6360,6350,6650,6730,6810,6650,6260,6050,5730,5540
Antigua and Barbuda,20800,19500,19400,20300,21200,22200,24700,26500,26100,22600,20700,20000,20400,20100,20800,21400,22400,22900,23800,24500
Argentina,15000,14200,12500,13400,14500,15600,16700,18000,18600,17300,18900,19800,19400,19600,18900,19200,18600,18900,18300,17500
Armenia,2930,3220,3670,4210,4670,5360,6110,7010,7560,6530,6700,7020,7510,7720,7950,8170,8160,8750,9180,9730
Australia,35400,35600,36600,37200,38300,39000,39500,40700,41400,41300,41500,42000,42800,43200,43700,44100,44600,44900,45400,45500
Austria,38800,39200,39600,39800,40700,41300,42500,43900,44400,42700,43300,44500,44600,44300,44200,44300,44700,45500,46500,46900
Azerbaijan,4600,5020,5450,5970,6460,8180,10900,13500,14600,15700,16200,15800,15900,16600,16900,16800,16100,15900,16000,16200
Bahamas,33000,33300,33700,32700,32400,32800,33000,32900,31500,29700,29700,29500,30100,29700,29300,29400,28600,28700,28800,28800
Bahrain,44900,43900,43100,43200,43400,43200,42700,42800,42200,40700,40600,40200,41000,42700,43800,43900,43700,43300,42000,42000
Bangladesh,1690,1750,1780,1830,1900,1990,2100,2220,2320,2410,2520,2650,2790,2930,3070,3230,3420,3630,3880,4140
Barbados,15400,15000,15000,15300,15500,16000,16900,17100,17000,16300,16300,16300,16300,16300,16300,16400,16700,16800,16700,16600
