country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.221,0.222,0.223,0.224,0.225,0.227,0.229,0.231,0.233,0.235,0.237,0.239,0.242,0.244,0.246,0.248,0.25,0.253,0.255,0.258
Albania,0.417,0.424,0.435,0.446,0.457,0.467,0.478,0.489,0.5,0.511,0.522,0.532,0.543,0.554,0.564,0.574,0.584,0.594,0.603,0.612
Algeria,0.599,0.607,0.615,0.623,0.631,0.638,0.646,0.653,0.661,0.668,0.675,0.682,0.689,0.696,0.702,0.708,0.715,0.721,0.726,0.732
Andorra,0.924,0.921,0.916,0.912,0.908,0.903,0.898,0.893,0.89,0.889,0.888,0.887,0.886,0.885,0.884,0.883,0.882,0.882,0.881,0.88
Angola,0.501,0.513,0.525,0.536,0.548,0.56,0.568,0.575,0.583,0.59,0.598,0.605,0.613,0.62,0.627,0.634,0.641,0.648,0.655,0.662
Antigua and Barbuda,0.321,0.317,0.311,0.305,0.298,0.292,0.286,0.28,0.274,0.268,0.262,0.257,0.255,0.254,0.252,0.25,0.248,0.247,0.246,0.245
Argentina,0.891,0.893,0.895,0.897,0.899,0.9,0.902,0.904,0.905,0.907,0.908,0.91,0.911,0.912,0.914,0.915,0.916,0.917,0.919,0.92
Armenia,0.647,0.644,0.642,0.641,0.64,0.639,0.638,0.637,0.636,0.635,0.634,0.633,0.632,0.632,0.631,0.631,0.631,0.631,0.631,0.632
Australia,0.842,0.841,0.842,0.843,0.845,0.846,0.847,0.848,0.849,0.851,0.852,0.853,0.854,0.855,0.856,0.857,0.858,0.859,0.86,0.861
Austria,0.602,0.599,0.597,0.594,0.591,0.588,0.585,0.582,0.58,0.577,0.574,0.571,0.571,0.573,0.575,0.577,0.579,0.581,0.583,0.585
Azerbaijan,0.514,0.516,0.518,0.52,0.522,0.524,0.526,0.528,0.53,0.532,0.534,0.536,0.539,0.541,0.544,0.547,0.55,0.553,0.557,0.56
Bahamas,0.82,0.82,0.821,0.821,0.822,0.822,0.823,0.823,0.823,0.824,0.824,0.825,0.825,0.826,0.827,0.827,0.828,0.829,0.83,0.831
Bahrain,0.884,0.884,0.884,0.884,0.884,0.884,0.885,0.885,0.885,0.886,0.886,0.887,0.888,0.888,0.889,0.89,0.891,0.892,0.893,0.894
Bangladesh,0.236,0.241,0.248,0.254,0.261,0.268,0.275,0.282,0.29,0.297,0.305,0.312,0.32,0.328,0.335,0.343,0.351,0.359,0.366,0.374
Barbados,0.338,0.336,0.334,0.332,0.33,0.328,0.326,0.325,0.323,0.321,0.319,0.317,0.316,0.314,0.313,0.312,0.312,0.312,0.311,0.312
Belarus,0.7,0.705,0.709,0.714,0.719,0.724,0.728,0.733,0.737,0.742,0.747,0.752,0.757,0.762,0.767,0.772,0.777,0.781,0.786,0.79
Belgium,0.971,0.972,0.972,0.973,0.973,0.974,0.975,0.975,0.976,0.976,0.977,0.977,0.977,0.978,0.978,0.979,0.979,0.98,0.98,0.98
Belize,0.454,0.454,0.454,0.453,0.453,0.453,0.453,0.453,0.453,0.452,0.452,0.452,0.452,0.453,0.453,0.454,0.455,0.456,0.457,0.459
Benin,0.383,0.386,0.39,0.395,0.4,0.405,0.41,0.416,0.421,0.426,0.431,0.436,0.441,0.446,0.452,0.457,0.462,0.468,0.473,0.479
Bhutan,0.254,0.265,0.276,0.287,0.298,0.31,0.317,0.325,0.332,0.34,0.348,0.356,0.364,0.371,0.379,0.387,0.394,0.402,0.409,0.416
Bolivia,0.618,0.623,0.628,0.632,0.637,0.642,0.646,0.651,0.655,0.66,0.664,0.669,0.673,0.677,0.68,0.684,0.687,0.691,0.694,0.698
Bosnia and Herzegovina,0.424,0.427,0.43,0.433,0.436,0.44,0.443,0.446,0.449,0.452,0.456,0.459,0.462,0.465,0.468,0.472,0.475,0.479,0.482,0.486
Botswana,0.532,0.541,0.546,0.55,0.555,0.559,0.564,0.579,0.594,0.609,0.624,0.639,0.648,0.656,0.664,0.672,0.679,0.687,0.694,0.702
Brazil,0.812,0.816,0.819,0.822,0.825,0.828,0.831,0.834,0.837,0.84,0.843,0.846,0.849,0.852,0.855,0.858,0.86,0.863,0.866,0.868
Brunei,0.712,0.717,0.72,0.724,0.728,0.732,0.735,0.739,0.743,0.746,0.75,0.753,0.757,0.76,0.763,0.767,0.77,0.773,0.776,0.779
Bulgaria,0.689,0.692,0.695,0.699,0.702,0.706,0.709,0.713,0.716,0.72,0.723,0.726,0.73,0.733,0.737,0.74,0.743,0.747,0.75,0.753
Burkina Faso,0.178,0.185,0.193,0.2,0.208,0.215,0.223,0.23,0.235,0.241,0.246,0.252,0.258,0.263,0.269,0.275,0.281,0.287,0.294,0.3
Burundi,0.0825,0.0846,0.0868,0.0891,0.0914,0.0938,0.0962,0.0986,0.101,0.104,0.106,0.109,0.112,0.115,0.118,0.121,0.124,0.127,0.13,0.134
Cambodia,0.186,0.187,0.188,0.189,0.191,0.192,0.193,0.194,0.196,0.199,0.203,0.207,0.21,0.214,0.218,0.222,0.226,0.23,0.234,0.238
Cameroon,0.455,0.461,0.467,0.473,0.479,0.485,0.491,0.497,0.504,0.51,0.516,0.522,0.528,0.534,0.54,0.546,0.552,0.558,0.564,0.57
Canada,0.795,0.798,0.799,0.8,0.8,0.801,0.802,0.804,0.806,0.808,0.809,0.811,0.811,0.812,0.812,0.813,0.813,0.813,0.814,0.815
Cape Verde,0.534,0.543,0.551,0.56,0.568,0.577,0.585,0.594,0.602,0.61,0.618,0.623,0.628,0.633,0.638,0.643,0.648,0.653,0.657,0.662
Central African Republic,0.376,0.377,0.378,0.379,0.38,0.381,0.382,0.383,0.385,0.387,0.389,0.391,0.394,0.397,0.4,0.403,0.406,0.41,0.414,0.418
Chad,0.216,0.217,0.217,0.217,0.218,0.218,0.218,0.219,0.219,0.219,0.22,0.221,0.221,0.222,0.224,0.225,0.227,0.229,0.231,0.233
Chile,0.861,0.864,0.866,0.867,0.867,0.868,0.868,0.869,0.87,0.87,0.871,0.871,0.872,0.872,0.873,0.874,0.874,0.875,0.876,0.876
China,0.359,0.371,0.384,0.398,0.411,0.425,0.439,0.452,0.465,0.479,0.492,0.505,0.518,0.53,0.543,0.555,0.567,0.58,0.592,0.603
Colombia,0.74,0.744,0.748,0.752,0.756,0.76,0.764,0.768,0.772,0.776,0.78,0.783,0.787,0.791,0.794,0.798,0.801,0.804,0.808,0.811
Comoros,0.281,0.28,0.28,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.28,0.28,0.281,0.282,0.283,0.285,0.286,0.288,0.29,0.292
"Congo, Dem. Rep.",0.351,0.356,0.361,0.365,0.37,0.375,0.38,0.385,0.39,0.395,0.4,0.405,0.411,0.416,0.422,0.427,0.433,0.439,0.445,0.45
"Congo, Rep.",0.587,0.592,0.596,0.601,0.605,0.61,0.614,0.619,0.623,0.628,0.633,0.637,0.642,0.646,0.651,0.655,0.66,0.665,0.669,0.674
Costa Rica,0.591,0.604,0.618,0.631,0.644,0.657,0.669,0.682,0.694,0.706,0.717,0.729,0.739,0.75,0.759,0.769,0.777,0.786,0.793,0.801
Cote d'Ivoire,0.432,0.436,0.44,0.444,0.448,0.452,0.457,0.461,0.465,0.469,0.473,0.478,0.482,0.486,0.49,0.494,0.499,0.503,0.508,0.512
Croatia,0.534,0.536,0.538,0.54,0.541,0.543,0.545,0.547,0.548,0.55,0.552,0.553,0.555,0.557,0.559,0.562,0.564,0.567,0.569,0.572
Cuba,0.753,0.756,0.758,0.759,0.76,0.761,0.762,0.763,0.764,0.765,0.766,0.767,0.768,0.768,0.769,0.769,0.769,0.77,0.77,0.771
Cyprus,0.686,0.688,0.687,0.686,0.684,0.683,0.681,0.68,0.678,0.677,0.676,0.674,0.673,0.671,0.67,0.669,0.669,0.668,0.668,0.668
Czech Republic,0.74,0.739,0.738,0.737,0.737,0.736,0.735,0.735,0.734,0.733,0.733,0.732,0.732,0.733,0.734,0.735,0.736,0.737,0.738,0.739
Denmark,0.851,0.852,0.853,0.854,0.856,0.859,0.861,0.863,0.865,0.867,0.868,0.87,0.871,0.873,0.874,0.875,0.876,0.878,0.879,0.88
Djibouti,0.765,0.766,0.766,0.767,0.767,0.768,0.768,0.769,0.769,0.769,0.77,0.771,0.771,0.772,0.773,0.774,0.775,0.776,0.778,0.779
Dominica,0.653,0.654,0.657,0.66,0.663,0.666,0.669,0.672,0.675,0.678,0.681,0.684,0.687,0.69,0.693,0.696,0.699,0.702,0.705,0.708
Dominican Republic,0.618,0.626,0.634,0.646,0.66,0.674,0.687,0.7,0.713,0.725,0.738,0.748,0.758,0.767,0.777,0.786,0.794,0.803,0.811,0.818
Ecuador,0.603,0.608,0.611,0.613,0.615,0.617,0.619,0.621,0.623,0.625,0.627,0.629,0.63,0.631,0.633,0.634,0.635,0.637,0.638,0.64
Egypt,0.428,0.428,0.429,0.429,0.43,0.43,0.431,0.431,0.431,0.43,0.43,0.43,0.429,0.429,0.428,0.428,0.427,0.427,0.427,0.427
El Salvador,0.589,0.595,0.6,0.606,0.611,0.616,0.622,0.628,0.637,0.646,0.655,0.663,0.672,0.68,0.689,0.697,0.705,0.713,0.72,0.727
Equatorial Guinea,0.491,0.508,0.526,0.543,0.56,0.577,0.594,0.611,0.627,0.644,0.659,0.675,0.69,0.695,0.701,0.706,0.711,0.716,0.721,0.726
Eritrea,0.266,0.275,0.283,0.292,0.302,0.311,0.321,0.33,0.34,0.346,0.352,0.358,,,,,,,,
Estonia,0.694,0.692,0.691,0.69,0.689,0.687,0.686,0.685,0.684,0.682,0.681,0.68,0.68,0.681,0.683,0.684,0.686,0.687,0.689,0.691
Eswatini,0.227,0.226,0.224,0.223,0.222,0.22,0.219,0.218,0.22,0.223,0.225,0.227,0.228,0.23,0.231,0.233,0.235,0.236,0.238,0.24
